iter	RMSE
0	6525.3571
1	6418.840073
2	6309.315972
3	6218.543205
4	6117.259763
5	6011.545128
6	5920.354853
7	5827.486533
8	5740.608155
9	5651.748551
10	5563.736352
11	5486.552873
12	5416.437737
13	5341.361515
14	5242.137912
15	5171.123442
16	5085.372063
17	5002.274835
18	4930.634039
19	4852.097567
20	4775.773655
21	4703.216539
22	4636.99281
23	4561.587434
24	4497.056181
25	4428.492764
26	4373.711952
27	4301.309069
28	4241.841582
29	4176.010461
30	4108.505045
31	4051.721357
32	4006.308568
33	3954.144569
34	3902.51063
35	3848.734
36	3796.004567
37	3742.54092
38	3698.992108
39	3652.21899
40	3607.135439
41	3561.8319
42	3517.66079
43	3478.275995
44	3433.536553
45	3388.520874
46	3346.046649
47	3306.320253
48	3266.051855
49	3226.779443
50	3187.231643
51	3150.110702
52	3116.430124
53	3078.231892
54	3043.162447
55	3012.274017
56	2979.660353
57	2948.994349
58	2918.583368
59	2883.941058
60	2853.236045
61	2820.775356
62	2792.106757
63	2764.565612
64	2734.916848
65	2707.941131
66	2678.824249
67	2655.4051
68	2625.368388
69	2599.628212
70	2578.642685
71	2551.148969
72	2521.33994
73	2496.436169
74	2472.941101
75	2449.292551
76	2428.906009
77	2403.913254
78	2382.435549
79	2361.943821
80	2339.083098
81	2320.183417
82	2300.293773
83	2280.791271
84	2262.842524
85	2244.817695
86	2223.674143
87	2206.442957
88	2189.687519
89	2171.823163
90	2151.00516
91	2128.917682
92	2114.53977
93	2098.383244
94	2084.015193
95	2070.767678
96	2054.292683
97	2042.735325
98	2025.165807
99	2011.215587
100	1994.842796
101	1978.385732
102	1964.882177
103	1950.29964
104	1938.008593
105	1929.130917
106	1913.380364
107	1898.819059
108	1886.375244
109	1874.16759
110	1862.287347
111	1849.379671
112	1838.251093
113	1824.468651
114	1813.840323
115	1803.347763
116	1790.629821
117	1779.403011
118	1772.071176
119	1760.850337
120	1745.389354
121	1736.017355
122	1728.340643
123	1719.592494
124	1714.161732
125	1705.880551
126	1694.504068
127	1685.599193
128	1677.059955
129	1667.85045
130	1658.124234
131	1650.183901
132	1641.774754
133	1633.057133
134	1624.972732
135	1614.758322
136	1608.037549
137	1597.354477
138	1589.346516
139	1578.916634
140	1572.00258
141	1562.906019
142	1556.998529
143	1548.474668
144	1540.490128
145	1531.7606
146	1523.04753
147	1515.554598
148	1508.278035
149	1500.367731
150	1494.11582
151	1488.240306
152	1480.058733
153	1475.217056
154	1470.036021
155	1463.027179
156	1455.059255
157	1448.3237
158	1443.7896
159	1440.129612
160	1433.12798
161	1427.703552
162	1421.198249
163	1413.788276
164	1409.061287
165	1402.313327
166	1398.198173
167	1390.109852
168	1382.934128
169	1376.978351
170	1372.668935
171	1365.109085
172	1359.100393
173	1355.685203
174	1349.637619
175	1345.60768
176	1339.608117
177	1334.556154
178	1329.485448
179	1326.392396
180	1323.838923
181	1319.99059
182	1315.214031
183	1307.565875
184	1303.666269
185	1300.570535
186	1295.156469
187	1289.874539
188	1286.816835
189	1281.36461
190	1276.967065
191	1272.240229
192	1269.200296
193	1265.408087
194	1261.706867
195	1256.610326
196	1251.428359
197	1244.653345
198	1241.148404
199	1235.037642
200	1231.47577
201	1225.44547
202	1221.823799
203	1218.303078
204	1211.956613
205	1208.136472
206	1204.573084
207	1199.200391
208	1192.626075
209	1187.188618
210	1182.049839
211	1177.279396
212	1173.292874
213	1170.632605
214	1167.697674
215	1162.22821
216	1156.435501
217	1152.92844
218	1146.276954
219	1140.948512
220	1137.593674
221	1134.97682
222	1130.896922
223	1128.083006
224	1123.274873
225	1117.668559
226	1113.185456
227	1110.961612
228	1107.962667
229	1102.04456
230	1096.536302
231	1094.337064
232	1088.179056
233	1085.287659
234	1083.040858
235	1081.200392
236	1077.136715
237	1072.612048
238	1070.813457
239	1068.858721
240	1066.858551
241	1064.943577
242	1061.101956
243	1056.038111
244	1051.510802
245	1047.864664
246	1044.023055
247	1041.030664
248	1039.58911
249	1037.869936
250	1035.906272
251	1034.669607
252	1031.244026
253	1028.022634
254	1025.891082
255	1021.857663
256	1019.970718
257	1016.413214
258	1015.005686
259	1013.109303
260	1010.142604
261	1007.712284
262	1003.297475
263	1001.700884
264	999.7522438
265	997.4214564
266	995.6469318
267	993.2547413
268	991.716639
269	987.4851043
270	985.6991935
271	983.3262236
272	982.3684527
273	980.8134498
274	975.8185537
275	974.2757789
276	973.0561336
277	970.5817462
278	969.4328622
279	965.7188305
280	964.3281865
281	960.7964109
282	958.9355473
283	957.6211594
284	954.39398
285	951.592856
286	950.1423176
287	946.4807501
288	942.2228263
289	940.9178049
290	939.3550413
291	936.4003261
292	934.543969
293	931.4398348
294	927.8048476
295	924.3867484
296	922.6416741
297	919.295228
298	915.7456582
299	913.9313481
300	910.076595
301	908.5760373
302	905.6441339
303	902.8918808
304	901.4628074
305	900.0964259
306	898.8970116
307	895.5842035
308	892.9880166
309	892.1025595
310	891.0212935
311	889.8873042
312	887.6002135
313	886.5459141
314	883.8841147
315	881.3906456
316	880.520688
317	877.6313796
318	874.8745126
319	872.5511623
320	870.2223214
321	868.3672155
322	865.9163427
323	863.5038006
324	860.1971981
325	858.3410798
326	855.4800828
327	853.8544526
328	852.0698003
329	851.4912089
330	848.4672087
331	845.1564207
332	841.7531829
333	839.5898113
334	836.2587893
335	835.122632
336	833.2730296
337	829.7382689
338	827.2506397
339	826.5098609
340	823.2655098
341	822.1740728
342	819.4081379
343	818.6804803
344	816.6899057
345	814.5513392
346	813.5530503
347	812.538261
348	809.7322226
349	806.0766646
350	802.7657049
351	801.104796
352	799.305878
353	797.8091772
354	796.0986268
355	792.889064
356	790.3667534
357	787.4163304
358	785.9273342
359	782.5588457
360	780.7673049
361	779.5978039
362	778.3298219
363	776.3361101
364	775.5354951
365	773.8877497
366	771.7813074
367	770.2554827
368	767.3611106
369	764.4078006
370	762.8870492
371	762.221772
372	760.9703857
373	758.1975522
374	757.4999821
375	756.0676714
376	754.8422087
377	754.3073325
378	752.255839
379	750.4132864
380	747.7469957
381	746.2772976
382	743.6726469
383	740.967609
384	738.028736
385	735.8930565
386	733.8543019
387	733.2254377
388	732.4454647
389	731.8336193
390	729.2008765
391	727.2102653
392	726.6131278
393	724.6512324
394	721.9949028
395	719.8795362
396	717.3112097
397	714.8078659
398	712.3603327
399	711.7768415
400	710.7663218
401	709.3748854
402	707.5638645
403	706.8976693
404	705.3801541
405	704.360347
406	702.715895
407	701.708624
408	700.6340994
409	698.6730264
410	696.9461572
411	696.3418985
412	695.7199283
413	693.9668966
414	691.9378492
415	690.6423631
416	689.4196109
417	687.7274667
418	686.3580613
419	684.8347093
420	684.3238206
421	682.0914921
422	679.7993487
423	679.2304971
424	678.4372264
425	677.081605
426	675.1246182
427	674.5556683
428	674.0334422
429	673.0299679
430	671.6795588
431	670.7707149
