iter	Passed	Remaining
0	2	2383
1	5	2855
2	8	2946
3	11	2943
4	14	2937
5	17	2977
6	21	2980
7	24	2979
8	27	2995
9	30	3002
10	33	3012
11	36	3011
12	39	3002
13	42	2999
14	45	2996
15	48	2997
16	51	2993
17	54	2992
18	58	2999
19	61	3009
20	64	3005
21	67	3014
22	70	3004
23	73	2991
24	76	2992
25	79	2989
26	82	2986
27	85	2980
28	88	2968
29	91	2960
30	95	2974
31	97	2962
32	100	2949
33	103	2938
34	106	2928
35	109	2922
36	112	2915
37	114	2905
38	117	2899
39	120	2892
40	123	2882
41	126	2874
42	128	2864
43	131	2854
44	134	2844
45	136	2836
46	138	2812
47	141	2804
48	144	2798
49	146	2790
50	149	2785
51	152	2778
52	155	2770
53	157	2766
54	160	2761
55	163	2756
56	166	2750
57	169	2758
58	172	2758
59	176	2758
60	179	2759
61	182	2761
62	185	2763
63	189	2768
64	192	2775
65	196	2780
66	200	2788
67	204	2797
68	206	2791
69	209	2784
70	212	2777
71	215	2772
72	217	2767
73	220	2763
74	223	2757
75	226	2750
76	228	2744
77	231	2739
78	234	2735
79	237	2728
80	238	2704
81	241	2699
82	243	2693
83	246	2687
84	249	2681
85	251	2676
86	254	2671
87	257	2665
88	259	2661
89	262	2656
90	265	2650
91	268	2645
92	270	2640
93	273	2637
94	276	2632
95	279	2628
96	281	2623
97	284	2618
98	287	2614
99	289	2609
100	292	2603
101	295	2598
102	297	2593
103	300	2588
104	303	2584
105	306	2588
106	309	2587
107	312	2581
108	315	2582
109	318	2577
110	321	2571
111	323	2566
112	326	2561
113	329	2558
114	331	2554
115	334	2549
116	337	2545
117	340	2541
118	343	2542
119	346	2542
120	349	2539
121	352	2536
122	355	2535
123	358	2532
124	361	2529
125	364	2528
126	367	2527
127	371	2531
128	375	2532
129	377	2529
130	381	2527
131	383	2524
132	386	2522
133	389	2519
134	393	2518
135	396	2516
136	399	2514
137	402	2512
138	405	2512
139	409	2512
140	412	2511
141	415	2509
142	419	2512
143	422	2509
144	424	2505
145	427	2502
146	430	2498
147	433	2496
148	436	2493
149	439	2489
150	442	2486
151	445	2483
152	448	2481
153	451	2478
154	454	2476
155	457	2473
156	459	2469
157	462	2466
158	466	2467
159	469	2463
160	472	2459
161	474	2455
162	477	2452
163	480	2450
164	483	2446
165	486	2442
166	488	2438
167	491	2435
168	494	2432
169	497	2428
170	500	2424
171	503	2421
172	505	2418
173	508	2414
174	511	2411
175	514	2409
176	517	2407
177	520	2404
178	523	2400
179	526	2397
180	529	2394
181	531	2390
182	534	2388
183	538	2387
184	541	2384
185	544	2382
186	547	2381
187	550	2379
188	554	2378
189	557	2375
190	560	2375
191	563	2371
192	566	2367
193	569	2364
194	572	2362
195	575	2359
196	577	2355
197	580	2351
198	583	2348
199	586	2344
200	588	2340
201	591	2336
202	594	2332
203	596	2329
204	599	2325
205	602	2322
206	605	2319
207	608	2315
208	610	2312
209	613	2308
210	616	2305
211	619	2301
212	621	2297
213	624	2293
214	627	2290
215	630	2286
216	632	2283
217	635	2279
218	638	2276
219	640	2271
220	643	2268
221	646	2264
222	648	2260
223	651	2257
224	654	2253
225	656	2249
226	659	2245
227	662	2242
228	664	2238
229	667	2235
230	670	2231
231	672	2227
232	675	2223
233	678	2220
234	680	2216
235	683	2212
236	686	2211
237	689	2208
238	692	2206
239	695	2203
240	698	2200
241	701	2198
242	704	2195
243	708	2194
244	711	2192
245	714	2189
246	716	2184
247	719	2181
248	722	2178
249	725	2175
250	728	2172
251	730	2169
252	733	2166
253	736	2163
254	739	2160
255	742	2157
256	744	2153
257	747	2150
258	750	2146
259	752	2143
260	755	2139
261	758	2135
262	760	2132
263	763	2128
264	766	2124
265	768	2121
266	771	2117
267	773	2113
268	777	2113
269	780	2110
270	783	2106
271	785	2103
272	788	2099
273	791	2096
274	793	2092
275	796	2089
276	799	2086
277	801	2082
278	804	2079
279	807	2075
280	809	2072
281	812	2068
282	815	2066
283	818	2063
284	821	2060
285	824	2057
286	828	2057
287	831	2055
288	834	2054
289	838	2052
290	841	2050
291	845	2049
292	849	2050
293	852	2048
294	856	2045
295	859	2043
296	863	2044
297	867	2043
298	870	2041
299	874	2039
300	877	2036
301	880	2035
302	883	2032
303	886	2030
304	890	2028
305	894	2027
306	897	2026
307	901	2025
308	904	2023
309	908	2021
310	912	2020
311	915	2018
312	918	2015
313	921	2012
314	924	2009
315	927	2007
316	930	2005
317	933	2002
318	937	2000
319	940	1997
320	943	1995
321	946	1992
322	949	1990
323	952	1988
324	955	1985
325	958	1981
326	961	1978
327	964	1975
328	966	1971
329	969	1968
330	972	1965
331	975	1962
332	978	1960
333	981	1957
334	984	1953
335	987	1950
336	989	1947
337	992	1944
338	995	1940
339	998	1937
340	1000	1934
341	1003	1931
342	1007	1929
343	1010	1926
344	1013	1923
345	1016	1920
346	1019	1918
347	1022	1915
348	1025	1913
349	1029	1911
350	1032	1909
351	1036	1908
352	1039	1905
353	1043	1903
354	1045	1900
355	1049	1897
356	1052	1894
357	1054	1891
358	1057	1888
359	1060	1885
360	1064	1883
361	1067	1881
362	1070	1878
363	1073	1876
364	1076	1873
365	1080	1872
366	1083	1869
367	1086	1866
368	1089	1863
369	1092	1860
370	1096	1858
371	1099	1855
372	1102	1853
373	1105	1850
374	1109	1849
375	1113	1847
376	1116	1844
377	1119	1841
378	1121	1837
379	1125	1835
380	1128	1833
381	1131	1830
382	1134	1827
383	1136	1823
384	1140	1821
385	1144	1819
386	1147	1816
387	1149	1813
388	1152	1809
389	1155	1807
390	1158	1805
391	1161	1801
392	1164	1798
393	1167	1794
394	1170	1792
395	1173	1789
396	1176	1786
397	1179	1783
398	1181	1780
399	1184	1777
400	1187	1773
401	1190	1770
402	1193	1767
403	1196	1764
404	1198	1761
405	1201	1757
406	1205	1755
407	1208	1753
408	1211	1750
409	1214	1747
410	1217	1744
411	1220	1742
412	1223	1739
413	1226	1736
414	1230	1734
415	1234	1732
416	1237	1729
417	1239	1726
418	1242	1723
419	1246	1720
420	1249	1717
421	1251	1714
422	1254	1711
423	1257	1708
424	1260	1705
425	1263	1702
426	1266	1699
427	1269	1696
428	1271	1692
429	1274	1689
430	1277	1687
431	1280	1683
432	1283	1680
433	1286	1677
434	1289	1674
435	1292	1672
436	1295	1669
437	1298	1666
438	1301	1662
439	1304	1659
440	1307	1656
441	1310	1653
442	1312	1650
443	1315	1647
444	1318	1644
445	1321	1640
446	1324	1638
447	1327	1635
448	1330	1633
449	1334	1630
450	1337	1628
451	1342	1627
452	1345	1625
453	1348	1622
454	1351	1619
455	1355	1616
456	1358	1613
457	1361	1610
458	1364	1608
459	1367	1605
460	1370	1602
461	1373	1599
462	1377	1597
463	1380	1594
464	1383	1591
465	1386	1588
466	1389	1585
467	1391	1582
468	1394	1579
469	1398	1576
470	1401	1574
471	1404	1571
472	1407	1568
473	1410	1565
474	1412	1561
475	1415	1558
476	1418	1555
477	1421	1552
478	1424	1549
479	1427	1545
480	1429	1542
481	1432	1539
482	1435	1536
483	1438	1533
484	1440	1529
485	1443	1526
486	1446	1523
487	1449	1520
488	1451	1517
489	1454	1513
490	1457	1510
491	1460	1507
492	1463	1504
493	1466	1501
494	1468	1498
495	1471	1495
496	1474	1492
497	1477	1489
498	1480	1486
499	1482	1482
500	1485	1479
501	1488	1476
502	1490	1472
503	1493	1469
504	1495	1466
505	1498	1462
506	1501	1459
507	1503	1456
508	1506	1453
509	1509	1450
510	1511	1446
511	1514	1443
512	1517	1440
513	1520	1437
514	1522	1434
515	1525	1431
516	1528	1427
517	1531	1424
518	1534	1421
519	1536	1418
520	1539	1415
521	1542	1412
522	1545	1409
523	1547	1405
524	1551	1403
525	1554	1400
526	1557	1397
527	1560	1394
528	1562	1391
529	1565	1388
530	1568	1385
531	1571	1382
532	1575	1380
533	1579	1377
534	1582	1375
535	1586	1373
536	1589	1370
537	1592	1367
538	1594	1364
539	1597	1361
540	1600	1358
541	1603	1355
542	1606	1352
543	1609	1349
544	1612	1346
545	1615	1343
546	1618	1340
547	1621	1337
548	1625	1335
549	1628	1332
550	1632	1329
551	1635	1327
552	1638	1324
553	1641	1321
554	1644	1318
555	1648	1316
556	1651	1313
557	1654	1310
558	1657	1307
559	1660	1304
560	1663	1301
561	1666	1299
562	1669	1296
563	1672	1293
564	1675	1290
565	1678	1287
566	1681	1284
567	1684	1280
568	1686	1277
569	1689	1274
570	1692	1271
571	1695	1268
572	1698	1265
573	1701	1262
574	1703	1259
575	1706	1256
576	1709	1253
577	1712	1250
578	1715	1247
579	1718	1244
580	1720	1240
581	1724	1238
582	1727	1235
583	1730	1232
584	1733	1229
585	1736	1226
586	1739	1223
587	1742	1221
588	1745	1218
589	1748	1215
590	1751	1211
591	1754	1209
592	1757	1206
593	1759	1202
594	1762	1199
595	1765	1196
596	1767	1193
597	1770	1190
598	1773	1187
599	1775	1183
600	1778	1180
601	1781	1177
602	1784	1174
603	1786	1171
604	1789	1168
605	1792	1165
606	1794	1162
607	1797	1158
608	1800	1155
609	1802	1152
610	1805	1149
611	1807	1146
612	1810	1143
613	1813	1139
614	1816	1136
615	1819	1134
616	1822	1131
617	1825	1128
618	1828	1125
619	1831	1122
620	1833	1119
621	1836	1116
622	1839	1112
623	1841	1109
624	1844	1106
625	1847	1103
626	1850	1100
627	1853	1098
628	1856	1095
629	1859	1092
630	1863	1089
631	1866	1086
632	1869	1084
633	1873	1081
634	1875	1078
635	1880	1076
636	1884	1073
637	1887	1070
638	1890	1067
639	1894	1065
640	1898	1063
641	1901	1060
642	1904	1057
643	1909	1055
644	1912	1052
645	1914	1049
646	1917	1046
647	1920	1043
648	1924	1040
649	1927	1037
650	1931	1035
651	1934	1032
652	1938	1029
653	1943	1027
654	1946	1025
655	1949	1022
656	1952	1019
657	1958	1017
658	1961	1014
659	1964	1011
660	1967	1008
661	1972	1007
662	1975	1004
663	1978	1001
664	1982	998
665	1987	996
